DATE,IRLTLT01ZAM156N
1960-01-01,5.25
1960-02-01,5.25
1960-03-01,5.25
1960-04-01,5.25
1960-05-01,5.25
1960-06-01,5.25
1960-07-01,5.25
1960-08-01,5.25
1960-09-01,5.38
1960-10-01,5.38
1960-11-01,5.38
1960-12-01,5.38
1961-01-01,5.38
1961-02-01,5.62
1961-03-01,5.62
1961-04-01,5.62
1961-05-01,5.88
1961-06-01,5.88
1961-07-01,5.88
1961-08-01,5.88
1961-09-01,5.88
1961-10-01,5.88
1961-11-01,5.88
1961-12-01,5.88
1962-01-01,5.88
1962-02-01,5.88
1962-03-01,5.88
1962-04-01,5.88
1962-05-01,5.75
1962-06-01,5.62
1962-07-01,5.25
1962-08-01,5
1962-09-01,5
1962-10-01,5
1962-11-01,4.75
1962-12-01,4.75
1963-01-01,4.75
1963-02-01,4.75
1963-03-01,4.75
1963-04-01,4.75
1963-05-01,4.75
1963-06-01,4.75
1963-07-01,4.75
1963-08-01,4.75
1963-09-01,4.75
1963-10-01,4.75
1963-11-01,4.75
1963-12-01,4.75
1964-01-01,4.75
1964-02-01,4.75
1964-03-01,4.75
1964-04-01,4.75
1964-05-01,4.75
1964-06-01,4.75
1964-07-01,4.75
1964-08-01,4.75
1964-09-01,4.75
1964-10-01,4.75
1964-11-01,4.75
1964-12-01,5
1965-01-01,5
1965-02-01,5
1965-03-01,5.25
1965-04-01,5.5
1965-05-01,5.5
1965-06-01,5.5
1965-07-01,5.5
1965-08-01,6
1965-09-01,6
1965-10-01,6
1965-11-01,6
1965-12-01,6
1966-01-01,6
1966-02-01,6
1966-03-01,6
1966-04-01,6
1966-05-01,6
1966-06-01,6
1966-07-01,6.5
1966-08-01,6.5
1966-09-01,6.5
1966-10-01,6.5
1966-11-01,6.5
1966-12-01,6.5
1967-01-01,6.5
1967-02-01,6.5
1967-03-01,6.5
1967-04-01,6.5
1967-05-01,6.5
1967-06-01,6.5
1967-07-01,6.5
1967-08-01,6.5
1967-09-01,6.5
1967-10-01,6.5
1967-11-01,6.5
1967-12-01,6.5
1968-01-01,6.5
1968-02-01,6.5
1968-03-01,6.5
1968-04-01,6.5
1968-05-01,6.5
1968-06-01,6.5
1968-07-01,6.5
1968-08-01,6.5
1968-09-01,6.5
1968-10-01,6.5
1968-11-01,6.5
1968-12-01,6.5
1969-01-01,6.5
1969-02-01,6.5
1969-03-01,6.5
1969-04-01,6.5
1969-05-01,6.5
1969-06-01,6.5
1969-07-01,6.5
1969-08-01,6.5
1969-09-01,6.5
1969-10-01,6.5
1969-11-01,6.5
1969-12-01,6.5
1970-01-01,6.5
1970-02-01,6.5
1970-03-01,6.5
1970-04-01,6.5
1970-05-01,7
1970-06-01,7
1970-07-01,7
1970-08-01,7.75
1970-09-01,7.75
1970-10-01,7.75
1970-11-01,7.75
1970-12-01,7.75
1971-01-01,7.75
1971-02-01,7.75
1971-03-01,8.5
1971-04-01,8.5
1971-05-01,8.5
1971-06-01,8.5
1971-07-01,8.5
1971-08-01,8.5
1971-09-01,8.5
1971-10-01,8.5
1971-11-01,8.5
1971-12-01,8.5
1972-01-01,8.5
1972-02-01,8.5
1972-03-01,8.5
1972-04-01,8.5
1972-05-01,8.5
1972-06-01,8.5
1972-07-01,8.5
1972-08-01,8.25
1972-09-01,8.12
1972-10-01,8.12
1972-11-01,8.12
1972-12-01,8.13
1973-01-01,8.12
1973-02-01,8.12
1973-03-01,7.75
1973-04-01,7.75
1973-05-01,7.75
1973-06-01,7.75
1973-07-01,7.75
1973-08-01,7.75
1973-09-01,7.75
1973-10-01,7.75
1973-11-01,7.75
1973-12-01,8
1974-01-01,8.25
1974-02-01,8.25
1974-03-01,8.25
1974-04-01,8.25
1974-05-01,8.25
1974-06-01,8.5
1974-07-01,9.25
1974-08-01,9.75
1974-09-01,9.75
1974-10-01,9.75
1974-11-01,9.75
1974-12-01,9.5
1975-01-01,9.5
1975-02-01,9.5
1975-03-01,9.5
1975-04-01,9.5
1975-05-01,9.5
1975-06-01,9.5
1975-07-01,9.5
1975-08-01,10
1975-09-01,10
1975-10-01,10
1975-11-01,10
1975-12-01,10
1976-01-01,10.17
1976-02-01,10.02
1976-03-01,9.92
1976-04-01,9.99
1976-05-01,10.01
1976-06-01,10.04
1976-07-01,10.02
1976-08-01,10.5
1976-09-01,11.24
1976-10-01,11.23
1976-11-01,11.1
1976-12-01,11
1977-01-01,11.17
1977-02-01,11.11
1977-03-01,11.08
1977-04-01,11.26
1977-05-01,11.05
1977-06-01,11.1
1977-07-01,11.03
1977-08-01,11.11
1977-09-01,10.9
1977-10-01,10.9
1977-11-01,10.7
1977-12-01,10.69
1978-01-01,10.88
1978-02-01,10.8
1978-03-01,10.75
1978-04-01,10.67
1978-05-01,10.58
1978-06-01,10.57
1978-07-01,10.57
1978-08-01,10.34
1978-09-01,10.2
1978-10-01,9.89
1978-11-01,9.78
1978-12-01,9.72
1979-01-01,9.34
1979-02-01,9.07
1979-03-01,9.11
1979-04-01,9.1
1979-05-01,9.35
1979-06-01,9.35
1979-07-01,9.49
1979-08-01,9.33
1979-09-01,9.17
1979-10-01,9.15
1979-11-01,9.34
1979-12-01,9.32
1980-01-01,9.24
1980-02-01,9.26
1980-03-01,9.26
1980-04-01,9.41
1980-05-01,9.53
1980-06-01,9.54
1980-07-01,9.85
1980-08-01,10.08
1980-09-01,10.4
1980-10-01,11.11
1980-11-01,11.54
1980-12-01,11.81
1981-01-01,12.48
1981-02-01,12.73
1981-03-01,12.75
1981-04-01,12.69
1981-05-01,13.05
1981-06-01,13.03
1981-07-01,13.02
1981-08-01,13.1
1981-09-01,13.22
1981-10-01,13.21
1981-11-01,13.24
1981-12-01,13.33
1982-01-01,13.93
1982-02-01,14.2
1982-03-01,14.3
1982-04-01,14.22
1982-05-01,14.15
1982-06-01,14.49
1982-07-01,14.7
1982-08-01,14.09
1982-09-01,12.72
1982-10-01,12.19
1982-11-01,11.8
1982-12-01,11.31
1983-01-01,10.58
1983-02-01,11.4
1983-03-01,12.25
1983-04-01,11.99
1983-05-01,12.25
1983-06-01,13.12
1983-07-01,13.29
1983-08-01,13.4
1983-09-01,13.14
1983-10-01,13.29
1983-11-01,13.63
1983-12-01,13.64
1984-01-01,14.13
1984-02-01,13.8
1984-03-01,13.78
1984-04-01,14.46
1984-05-01,14.86
1984-06-01,14.72
1984-07-01,15.43
1984-08-01,16
1984-09-01,16.6
1984-10-01,16.47
1984-11-01,16.21
1984-12-01,16.26
1985-01-01,16.88
1985-02-01,17.42
1985-03-01,17.3
1985-04-01,16.56
1985-05-01,16.25
1985-06-01,15.48
1985-07-01,15.34
1985-08-01,16.15
1985-09-01,16.75
1985-10-01,17.34
1985-11-01,17.94
1985-12-01,18.09
1986-01-01,17.62
1986-02-01,17.18
1986-03-01,17.29
1986-04-01,17.36
1986-05-01,17.11
1986-06-01,17.38
1986-07-01,16.4
1986-08-01,14.89
1986-09-01,14.5
1986-10-01,15.76
1986-11-01,15.64
1986-12-01,15.26
1987-01-01,15.14
1987-02-01,15.38
1987-03-01,14.96
1987-04-01,15.18
1987-05-01,15.55
1987-06-01,15.6
1987-07-01,15.5
1987-08-01,15.09
1987-09-01,15.15
1987-10-01,15.24
1987-11-01,15.31
1987-12-01,15.46
1988-01-01,16.14
1988-02-01,16.53
1988-03-01,16.62
1988-04-01,16.45
1988-05-01,16.44
1988-06-01,16.13
1988-07-01,16.09
1988-08-01,16.08
1988-09-01,16.03
1988-10-01,16.47
1988-11-01,16.77
1988-12-01,16.71
1989-01-01,16.64
1989-02-01,16.64
1989-03-01,16.92
1989-04-01,17.22
1989-05-01,17.38
1989-06-01,17.24
1989-07-01,17.19
1989-08-01,17.04
1989-09-01,16.83
1989-10-01,16.94
1989-11-01,16.92
1989-12-01,15.85
1990-01-01,15.49
1990-02-01,15.61
1990-03-01,15.66
1990-04-01,16.16
1990-05-01,16.166
1990-06-01,16.67
1990-07-01,16.418
1990-08-01,16.269
1990-09-01,16.417
1990-10-01,16.56
1990-11-01,16.43
1990-12-01,15.96
1991-01-01,16
1991-02-01,15.58
1991-03-01,15.64
1991-04-01,15.83
1991-05-01,16.01
1991-06-01,16.31
1991-07-01,16.43
1991-08-01,16.79
1991-09-01,16.84
1991-10-01,17.21
1991-11-01,16.83
1991-12-01,16.66
1992-01-01,16.65
1992-02-01,16.86
1992-03-01,16.41
1992-04-01,16.26
1992-05-01,15.97
1992-06-01,15.98
1992-07-01,15.29
1992-08-01,14.38
1992-09-01,14.18
1992-10-01,13.86
1992-11-01,14.54
1992-12-01,14.9
1993-01-01,14.65
1993-02-01,14.36
1993-03-01,14.49
1993-04-01,15.03
1993-05-01,14.92
1993-06-01,14.68
1993-07-01,14.24
1993-08-01,13.85
1993-09-01,13.29
1993-10-01,13.07
1993-11-01,12.69
1993-12-01,12.34
1994-01-01,12.21
1994-02-01,12.8
1994-03-01,12.99
1994-04-01,13.24
1994-05-01,13.76
1994-06-01,14.46
1994-07-01,15.11
1994-08-01,15.87
1994-09-01,16.89
1994-10-01,16.91
1994-11-01,16.94
1994-12-01,16.8
1995-01-01,17.02
1995-02-01,16.82
1995-03-01,16.72
1995-04-01,16.82
1995-05-01,16.95
1995-06-01,16.78
1995-07-01,16.62
1995-08-01,15.96
1995-09-01,15.49
1995-10-01,15.15
1995-11-01,14.39
1995-12-01,14.56
1996-01-01,13.77
1996-02-01,14.1
1996-03-01,15.04
1996-04-01,15.78
1996-05-01,16.53
1996-06-01,15.78
1996-07-01,15.39
1996-08-01,15.82
1996-09-01,15.42
1996-10-01,15.8
1996-11-01,16.18
1996-12-01,16.19
1997-01-01,15.82
1997-02-01,15.03
1997-03-01,15.16
1997-04-01,15.24
1997-05-01,15.08
1997-06-01,14.72
1997-07-01,14.21
1997-08-01,14.24
1997-09-01,14.18
1997-10-01,14.05
1997-11-01,14.5
1997-12-01,14.14
1998-01-01,13.61
1998-02-01,13.49
1998-03-01,13.33
1998-04-01,12.92
1998-05-01,13.46
1998-06-01,14.6
1998-07-01,15.89
1998-08-01,16.95
1998-09-01,18.3
1998-10-01,16.51
1998-11-01,16.05
1998-12-01,16.36
1999-01-01,15.89
1999-02-01,14.88
1999-03-01,14.54
1999-04-01,14.58
1999-05-01,15.14
1999-06-01,14.93
1999-07-01,14.97
1999-08-01,15.28
1999-09-01,15.35
1999-10-01,15
1999-11-01,14.3
1999-12-01,13.96
2000-01-01,13.49
2000-02-01,13.5
2000-03-01,13.92
2000-04-01,14.27
2000-05-01,14.79
2000-06-01,14.33
2000-07-01,13.9
2000-08-01,13.52
2000-09-01,13.72
2000-10-01,13.72
2000-11-01,13.4
2000-12-01,12.88
2001-01-01,12.61
2001-02-01,11.97
2001-03-01,11.79
2001-04-01,12.17
2001-05-01,11.93
2001-06-01,11.32
2001-07-01,10.9
2001-08-01,10.75
2001-09-01,10.81
2001-10-01,10.73
2001-11-01,10.27
2001-12-01,11.63
2002-01-01,11.61
2002-02-01,11.89
2002-03-01,12.63
2002-04-01,12.47
2002-05-01,11.66
2002-06-01,11.6
2002-07-01,11.15
2002-08-01,11.08
2002-09-01,11.35
2002-10-01,11.27
2002-11-01,10.86
2002-12-01,10.44
2003-01-01,10.17
2003-02-01,9.94
2003-03-01,10
2003-04-01,9.93
2003-05-01,9.76
2003-06-01,9.26
2003-07-01,9.57
2003-08-01,9.59
2003-09-01,9.61
2003-10-01,9.13
2003-11-01,9.28
2003-12-01,9.15
2004-01-01,9.27
2004-02-01,9.4
2004-03-01,9.6
2004-04-01,9.85
2004-05-01,10.24
2004-06-01,10.38
2004-07-01,10.08
2004-08-01,9.72
2004-09-01,9.28
2004-10-01,9.16
2004-11-01,8.96
2004-12-01,8.38
2005-01-01,8.2
2005-02-01,7.85
2005-03-01,8.21
2005-04-01,8.45
2005-05-01,8.4
2005-06-01,8.08
2005-07-01,8.12
2005-08-01,7.9
2005-09-01,8.04
2005-10-01,8.1
2005-11-01,7.88
2005-12-01,7.57
2006-01-01,7.37
2006-02-01,7.26
2006-03-01,7.36
2006-04-01,7.46
2006-05-01,7.63
2006-06-01,8.29
2006-07-01,8.58
2006-08-01,8.59
2006-09-01,8.64
2006-10-01,8.39
2006-11-01,7.87
2006-12-01,7.81
2007-01-01,7.65
2007-02-01,7.5
2007-03-01,7.59
2007-04-01,7.64
2007-05-01,7.58
2007-06-01,8.1
2007-07-01,8.34
2007-08-01,8.37
2007-09-01,8.45
2007-10-01,8.12
2007-11-01,8.19
2007-12-01,8.29
2008-01-01,8.36
2008-02-01,8.69
2008-03-01,9.16
2008-04-01,9.15
2008-05-01,9.51
2008-06-01,10.35
2008-07-01,10.1
2008-08-01,9.2
2008-09-01,9.04
2008-10-01,9.24
2008-11-01,8.58
2008-12-01,7.82
2009-01-01,7.85
2009-02-01,8.26
2009-03-01,8.43
2009-04-01,8.57
2009-05-01,8.7
2009-06-01,8.88
2009-07-01,9.11
2009-08-01,8.8
2009-09-01,8.7
2009-10-01,9.11
2009-11-01,9
2009-12-01,9.03
2010-01-01,9.24
2010-02-01,9.11
2010-03-01,8.92
2010-04-01,8.75
2010-05-01,8.97
2010-06-01,8.99
2010-07-01,8.78
2010-08-01,8.17
2010-09-01,7.92
2010-10-01,8.03
2010-11-01,8.12
2010-12-01,8.38
2011-01-01,8.52
2011-02-01,8.7
2011-03-01,8.94
2011-04-01,8.73
2011-05-01,8.56
2011-06-01,8.5
2011-07-01,8.55
2011-08-01,8.1
2011-09-01,8.25
2011-10-01,8.41
2011-11-01,8.47
2011-12-01,8.51
2012-01-01,8.4
2012-02-01,8.23
2012-03-01,8.37
2012-04-01,8.28
2012-05-01,8.28
2012-06-01,8.16
2012-07-01,7.52
2012-08-01,7.48
2012-09-01,7.4
2012-10-01,7.67
2012-11-01,7.64
2012-12-01,7.37
2013-01-01,7.26
2013-02-01,7.29
2013-03-01,7.39
2013-04-01,6.97
2013-05-01,6.96
2013-06-01,7.94
2013-07-01,7.97
2013-08-01,8.37
2013-09-01,8.15
2013-10-01,7.87
2013-11-01,8.18
2013-12-01,8.32
2014-01-01,8.48
2014-02-01,8.67
2014-03-01,8.52
2014-04-01,8.41
2014-05-01,8.16
2014-06-01,8.34
2014-07-01,8.25
2014-08-01,8.21
2014-09-01,8.2
2014-10-01,8.06
2014-11-01,7.86
2014-12-01,7.84
2015-01-01,7.39
2015-02-01,7.49
2015-03-01,7.81
2015-04-01,7.85
2015-05-01,8.08
2015-06-01,8.33
2015-07-01,8.18
2015-08-01,8.28
2015-09-01,8.47
2015-10-01,8.28
2015-11-01,8.49
2015-12-01,9.34
2016-01-01,9.62
2016-02-01,9.23
2016-03-01,9.27
2016-04-01,9.07
2016-05-01,9.29
2016-06-01,9.05
2016-07-01,8.72
2016-08-01,8.7
2016-09-01,8.68
2016-10-01,8.76
2016-11-01,8.91
2016-12-01,8.95
2017-01-01,8.75
2017-02-01,8.73
2017-03-01,8.62
2017-04-01,8.84
2017-05-01,8.62
2017-06-01,9.01
2017-07-01,9.24
2017-08-01,9.12
2017-09-01,9.0
2017-10-01,9.4
2017-11-01,9.8
2017-12-01,9.5
2018-01-01,9.08
2018-02-01,8.7
2018-03-01,8.51
2018-04-01,8.48
2018-05-01,8.9
2018-06-01,9.3
2018-07-01,9.09
2018-08-01,9.28
2018-09-01,9.53
2018-10-01,9.62
2018-11-01,9.55
2018-12-01,9.54
2019-01-01,9.3
2019-02-01,9.26
2019-03-01,9.24
2019-04-01,9.06
2019-05-01,9.1
2019-06-01,9.03
2019-07-01,8.78
2019-08-01,9.03
2019-09-01,8.89
2019-10-01,8.93
2019-11-01,9.13
2019-12-01,9.12
2020-01-01,9.02
2020-02-01,8.94
2020-03-01,10.85
2020-04-01,11.23
2020-05-01,10.07
2020-06-01,9.96
2020-07-01,10.27
2020-08-01,10.19
2020-09-01,10.22
2020-10-01,10.39
2020-11-01,9.97
2020-12-01,9.79
2021-01-01,9.71
2021-02-01,9.5
2021-03-01,10.09
